candidate_id,rank,score,reasoning
CAND_0033179,26,103.212,"A senior backend/ML engineer offering 6.9 years of experience, presently working as AI Research Engineer at Wipro. Highly skilled in OpenSearch, Information Retrieval and experience in LLM fine-tuning, aligning well with our technical stack. Based in Ahmedabad, Gujarat but willing to relocate to target office. Strong platform engagement with a 84% response rate. Stated notice period is 30 days."
CAND_0040887,27,102.811,"Demonstrates strong hands-on capabilities in FAISS, Milvus and experience in LLM fine-tuning. Brings 4.7 years of industry experience as a backend/ML professional, currently holding the role of Machine Learning Engineer with Netflix. Currently located in Toronto. Strong platform engagement with a 84% response rate. Stated notice period is 15 days."
CAND_0064888,28,102.694,"Demonstrates 5.8 years of experience, currently active as a senior backend/ML engineer (ML Engineer) at Verloop.io. Open to relocating from Vizag, Andhra Pradesh to Noida/Pune office. Highly skilled in Embeddings, Elasticsearch and experience in LLM fine-tuning, aligning well with our technical stack. Very active candidate showing a 92% recruiter response rate. Stated notice period is 30 days."
CAND_0068811,29,102.516,"Highly skilled in Vector Search, Embeddings and experience in LLM fine-tuning, aligning well with our technical stack. Brings 8.0 years of industry experience as a highly experienced expert, currently holding the role of Applied ML Engineer with Freshworks. Based locally in Pune/Noida, perfect for our current office cadence. Strong platform engagement with a 42% response rate. Stated notice period is 30 days."
CAND_0055905,30,102.298,"Highly skilled in Elasticsearch, OpenSearch and experience in LLM fine-tuning, aligning well with our technical stack. Brings 8.1 years of industry experience as a highly experienced expert, currently holding the role of Senior Machine Learning Engineer with Flipkart. Operating from London. Strong platform engagement with a 87% response rate. Stated notice period is 30 days."
CAND_0093912,31,101.866,"Highly skilled in Embeddings, Vector Search and experience in learning-to-rank models, aligning well with our technical stack. Brings 5.3 years of industry experience as a senior backend/ML engineer, currently holding the role of Senior Data Scientist with Razorpay. Operating from Chandigarh, Chandigarh. Strong platform engagement with a 66% response rate. Stated notice period is 30 days."
CAND_0062247,32,101.768,"Strong match for the JD, showcasing solid skills in Vector Search, Information Retrieval and experience in LLM fine-tuning. Brings 7.3 years of industry experience as a senior backend/ML engineer, currently holding the role of AI Engineer with Google. Based in Kochi, Kerala but willing to relocate to target office. Strong platform engagement with a 78% response rate. Stated notice period is 30 days."
CAND_0041669,33,101.174,"A highly experienced expert offering 8.0 years of experience, presently working as Recommendation Systems Engineer at CRED. Demonstrates strong hands-on capabilities in Information Retrieval, FAISS and experience in LLM fine-tuning. Positioned in the Pune/Noida region, allowing for immediate hybrid onboarding. Strong platform engagement with a 77% response rate. Stated notice period is 60 days."
CAND_0054100,34,100.966,"Demonstrates 6.0 years of experience, currently active as a senior backend/ML engineer (Junior ML Engineer) at Zoho. Currently located in Kolkata, West Bengal. Demonstrates strong hands-on capabilities in Vector Search, Pinecone and experience in LLM fine-tuning. Excellent availability signals and a 79% response rate. Stated notice period is 60 days."
CAND_0071974,35,100.962,"Demonstrates 7.8 years of experience, currently active as a senior backend/ML engineer (Senior AI Engineer) at Netflix. Currently located in Vizag, Andhra Pradesh. Demonstrates strong hands-on capabilities in BM25, Information Retrieval and experience in LLM fine-tuning. Very active candidate showing a 76% recruiter response rate. Stated notice period is 45 days."
CAND_0018549,36,100.897,"Demonstrates strong hands-on capabilities in Elasticsearch, OpenSearch and experience in LLM fine-tuning. Brings 6.8 years of industry experience as a senior backend/ML engineer, currently holding the role of Recommendation Systems Engineer with Uber. Willing to relocate to Noida/Pune from Coimbatore, Tamil Nadu. Strong platform engagement with a 73% response rate. Stated notice period is 60 days."
CAND_0063622,37,100.835,"Demonstrates 5.2 years of experience, currently active as a senior backend/ML engineer (Computer Vision Engineer) at Niramai. Operating from Hyderabad, Telangana. Demonstrates strong hands-on capabilities in Vector Search, Diffusion Models and experience in LLM fine-tuning. Strong platform engagement with a 92% response rate. Stated notice period is 30 days."
CAND_0024990,38,100.200,"Highly skilled in OpenSearch, Elasticsearch, aligning well with our technical stack. Brings 5.2 years of industry experience as a senior backend/ML engineer, currently holding the role of Junior ML Engineer with Zoho. Operating from Trivandrum, Kerala. Strong platform engagement with a 83% response rate. Stated notice period is 60 days."
CAND_0037160,39,99.925,"A senior backend/ML engineer offering 6.0 years of experience, presently working as Data Scientist at Haptik. Demonstrates strong hands-on capabilities in Vector Search, Embeddings. Based out of Mumbai, Maharashtra. Strong platform engagement with a 74% response rate. Stated notice period is 30 days."
CAND_0074342,40,99.917,"A senior backend/ML engineer offering 5.7 years of experience, presently working as Data Scientist at Zoho. Strong match for the JD, showcasing solid skills in OpenSearch, Diffusion Models and experience in LLM fine-tuning. Based in Sydney but willing to relocate to target office. Strong platform engagement with a 76% response rate. Stated notice period is 30 days."
CAND_0073314,41,99.902,"Demonstrates strong hands-on capabilities in Elasticsearch, Milvus and experience in LLM fine-tuning. Brings 5.2 years of industry experience as a senior backend/ML engineer, currently holding the role of Senior Software Engineer (ML) with Aganitha. Located in target office location (Pune/Noida), meeting the hybrid setup needs. Strong platform engagement with a 84% response rate. Stated notice period is 60 days."
CAND_0064256,42,99.743,"A senior backend/ML engineer offering 6.4 years of experience, presently working as Junior ML Engineer at BYJU'S. Highly skilled in Embeddings, PyTorch, aligning well with our technical stack. Operating from Kolkata, West Bengal. Strong platform engagement with a 86% response rate. Stated notice period is 30 days."
CAND_0043860,43,99.408,"Strong match for the JD, showcasing solid skills in Information Retrieval, Vector Search. Brings 6.1 years of industry experience as a senior backend/ML engineer, currently holding the role of Junior ML Engineer with Aganitha. Based in Bhubaneswar, Odisha but willing to relocate to target office. Strong platform engagement with a 81% response rate. Stated notice period is 30 days."
CAND_0053695,44,99.098,"Demonstrates 5.8 years of experience, currently active as a senior backend/ML engineer (Recommendation Systems Engineer) at Meesho. Currently located in Bhubaneswar, Odisha. Demonstrates strong hands-on capabilities in Embeddings, Pinecone. Very active candidate showing a 60% recruiter response rate. Stated notice period is 15 days."
CAND_0083879,45,98.996,"A senior backend/ML engineer offering 7.1 years of experience, presently working as Machine Learning Engineer at Ola. Demonstrates strong hands-on capabilities in Milvus, Sentence Transformers and experience in LLM fine-tuning. Located in target office location (Pune/Noida), meeting the hybrid setup needs. Very active candidate showing a 47% recruiter response rate. Stated notice period is 30 days."
CAND_0079387,46,98.575,"Demonstrates 6.9 years of experience, currently active as a senior backend/ML engineer (AI Engineer) at Microsoft. Based out of Trivandrum, Kerala. Highly skilled in Vector Search, OpenSearch and experience in LLM fine-tuning, aligning well with our technical stack. Very active candidate showing a 81% recruiter response rate. Stated notice period is 30 days."
CAND_0066999,47,98.574,"Strong match for the JD, showcasing solid skills in OpenSearch, BM25. Brings 5.9 years of industry experience as a senior backend/ML engineer, currently holding the role of Recommendation Systems Engineer with Microsoft. Open to relocating from Delhi, Delhi to Noida/Pune office. Excellent availability signals and a 63% response rate. Stated notice period is 15 days."
CAND_0053605,48,97.917,"Demonstrates 6.9 years of experience, currently active as a senior backend/ML engineer (Senior Software Engineer (ML)) at Verloop.io. Based locally in Pune/Noida, perfect for our current office cadence. Demonstrates strong hands-on capabilities in BM25, GANs. Strong platform engagement with a 88% response rate. Stated notice period is 30 days."
CAND_0070525,49,97.898,"Demonstrates 5.4 years of experience, currently active as a senior backend/ML engineer (Senior Software Engineer (ML)) at Mad Street Den. Operating from Hyderabad, Telangana. Demonstrates strong hands-on capabilities in Embeddings, GANs. Strong platform engagement with a 93% response rate. Stated notice period is 45 days."
CAND_0017093,50,97.604,"A senior backend/ML engineer offering 5.9 years of experience, presently working as ML Engineer at Zoho. Strong match for the JD, showcasing solid skills in Embeddings, BM25 and experience in learning-to-rank models. Based in Hyderabad, Telangana but willing to relocate to target office. Strong platform engagement with a 57% response rate. Stated notice period is 30 days."
CAND_0052682,51,97.286,"A senior backend/ML engineer offering 6.6 years of experience, presently working as NLP Engineer at Aganitha. Demonstrates capability in Embeddings, FAISS and experience in LLM fine-tuning, with potential for this role. Operating from Vizag, Andhra Pradesh. Strong platform engagement with a 88% response rate. Stated notice period is 30 days."
CAND_0015967,52,97.232,"Demonstrates 5.4 years of experience, currently active as a senior backend/ML engineer (Senior Software Engineer (ML)) at Razorpay. Willing to relocate to Noida/Pune from Hyderabad, Telangana. Showcases decent alignment with the technical requirements, offering Embeddings, Pinecone and experience in LLM fine-tuning. Very active candidate showing a 45% recruiter response rate. Stated notice period is 30 days."
CAND_0043676,53,97.150,"A senior backend/ML engineer offering 6.1 years of experience, presently working as Senior Software Engineer (ML) at Observe.AI. Showcases decent alignment with the technical requirements, offering Diffusion Models, YOLO and experience in LLM fine-tuning. Willing to relocate to Noida/Pune from Delhi, Delhi. Strong platform engagement with a 65% response rate. Stated notice period is 30 days."
CAND_0043384,54,96.758,"Demonstrates 5.2 years of experience, currently active as a senior backend/ML engineer (Computer Vision Engineer) at Razorpay. Based in Chennai, Tamil Nadu but willing to relocate to target office. A viable candidate with relevant skills in LLMs, PyTorch and experience in LLM fine-tuning. Strong platform engagement with a 83% response rate. Stated notice period is 60 days."
CAND_0072660,55,96.729,"A viable candidate with relevant skills in Information Retrieval, OpenSearch and experience in LLM fine-tuning. Brings 7.1 years of industry experience as a senior backend/ML engineer, currently holding the role of Machine Learning Engineer with Unacademy. Operating from Berlin. Strong platform engagement with a 53% response rate. Stated notice period is 30 days."
CAND_0018888,56,96.689,"Demonstrates capability in Information Retrieval, FAISS, with potential for this role. Brings 6.5 years of industry experience as a senior backend/ML engineer, currently holding the role of AI Research Engineer with Razorpay. Located in target office location (Pune/Noida), meeting the hybrid setup needs. Very active candidate showing a 55% recruiter response rate. Stated notice period is 30 days."
CAND_0078492,57,96.380,"A viable candidate with relevant skills in BM25, Elasticsearch and experience in LLM fine-tuning. Brings 5.1 years of industry experience as a senior backend/ML engineer, currently holding the role of Recommendation Systems Engineer with Verloop.io. Willing to relocate to Noida/Pune from Kochi, Kerala. Very active candidate showing a 70% recruiter response rate. Stated notice period is 30 days."
CAND_0061655,58,96.148,"A backend/ML professional offering 4.6 years of experience, presently working as Machine Learning Engineer at Krutrim. Demonstrates capability in BM25, OpenSearch and experience in LLM fine-tuning, with potential for this role. Operating from Jaipur, Rajasthan. Strong platform engagement with a 88% response rate. Stated notice period is 15 days."
CAND_0014440,59,96.011,"Demonstrates 6.4 years of experience, currently active as a senior backend/ML engineer (Recommendation Systems Engineer) at CRED. Based out of Chennai, Tamil Nadu. A viable candidate with relevant skills in Elasticsearch, Milvus and experience in LLM fine-tuning. Excellent availability signals and a 64% response rate. Stated notice period is 60 days."
CAND_0036437,60,95.568,"A backend/ML professional offering 4.8 years of experience, presently working as Search Engineer at Rephrase.ai. Demonstrates capability in OpenSearch, Elasticsearch, with potential for this role. Based in Kolkata, West Bengal but willing to relocate to target office. Strong platform engagement with a 87% response rate. Stated notice period is 30 days."
CAND_0030031,61,95.344,"Demonstrates 5.7 years of experience, currently active as a senior backend/ML engineer (AI Engineer) at Microsoft. Currently located in Trivandrum, Kerala. Demonstrates capability in Information Retrieval, BM25 and experience in LLM fine-tuning, with potential for this role. Excellent availability signals and a 94% response rate. Stated notice period is 30 days."
CAND_0050454,62,95.110,"Showcases decent alignment with the technical requirements, offering BM25, FAISS and experience in LLM fine-tuning. Brings 6.8 years of industry experience as a senior backend/ML engineer, currently holding the role of AI Engineer with Rephrase.ai. Open to relocating from Delhi, Delhi to Noida/Pune office. Strong platform engagement with a 77% response rate. Stated notice period is 30 days."
CAND_0046703,63,94.703,"A backend/ML professional offering 4.5 years of experience, presently working as Senior Software Engineer at Cognizant. A viable candidate with relevant skills in Elasticsearch, Milvus and experience in LLM fine-tuning. Operating from New York. Strong platform engagement with a 76% response rate. Stated notice period is 30 days."
CAND_0081852,64,94.693,"Demonstrates capability in Vector Search, Milvus and experience in LLM fine-tuning, with potential for this role. Brings 5.9 years of industry experience as a senior backend/ML engineer, currently holding the role of Senior Data Scientist with Mad Street Den. Based in Delhi, Delhi but willing to relocate to target office. Strong platform engagement with a 44% response rate. Stated notice period is 45 days."
CAND_0047542,65,94.621,"Demonstrates 5.0 years of experience, currently active as a senior backend/ML engineer (Senior Software Engineer (ML)) at Meesho. Based in Chennai, Tamil Nadu but willing to relocate to target office. A viable candidate with relevant skills in Embeddings, Weaviate and experience in LLM fine-tuning. Strong platform engagement with a 75% response rate. Stated notice period is 45 days."
CAND_0007009,66,94.549,"Demonstrates 7.9 years of experience, currently active as a senior backend/ML engineer (Recommendation Systems Engineer) at Wysa. Located in target office location (Pune/Noida), meeting the hybrid setup needs. Demonstrates capability in Embeddings, BM25 and experience in LLM fine-tuning, with potential for this role. Excellent availability signals and a 62% response rate. Stated notice period is 30 days."
CAND_0045887,67,94.505,"A backend/ML professional offering 3.0 years of experience, presently working as Data Scientist at PharmEasy. Demonstrates capability in Embeddings, Elasticsearch and experience in LLM fine-tuning, with potential for this role. Currently located in Chennai, Tamil Nadu. Very active candidate showing a 86% recruiter response rate. Stated notice period is 30 days."
CAND_0010603,68,94.418,"Demonstrates 5.3 years of experience, currently active as a senior backend/ML engineer (ML Engineer) at BYJU'S. Currently located in Bangalore, Karnataka. Showcases decent alignment with the technical requirements, offering Information Retrieval, OpenSearch and experience in LLM fine-tuning. Active on the platform though notice period of 90 days is longer than preferred."
CAND_0046132,69,94.382,"Demonstrates 4.3 years of experience, currently active as a backend/ML professional (AI Research Engineer) at Verloop.io. Located in target office location (Pune/Noida), meeting the hybrid setup needs. Demonstrates capability in Information Retrieval, GANs and experience in LLM fine-tuning, with potential for this role. Excellent availability signals and a 94% response rate. Stated notice period is 30 days."
CAND_0012840,70,94.235,"Demonstrates capability in Embeddings, OpenSearch, with potential for this role. Brings 3.7 years of industry experience as a backend/ML professional, currently holding the role of Junior ML Engineer with Nykaa. Open to relocating from Mumbai, Maharashtra to Noida/Pune office. Excellent availability signals and a 90% response rate. Stated notice period is 60 days."
CAND_0038368,71,94.164,"Demonstrates 5.4 years of experience, currently active as a senior backend/ML engineer (ML Engineer) at PhonePe. Currently located in Hyderabad, Telangana. Showcases decent alignment with the technical requirements, offering Embeddings, BM25 and experience in LLM fine-tuning. Very active candidate showing a 68% recruiter response rate. Stated notice period is 30 days."
CAND_0054394,72,94.124,"Demonstrates 4.1 years of experience, currently active as a backend/ML professional (Recommendation Systems Engineer) at PharmEasy. Based locally in Pune/Noida, perfect for our current office cadence. Demonstrates capability in Embeddings, Pinecone and experience in LLM fine-tuning, with potential for this role. Strong platform engagement with a 64% response rate. Stated notice period is 30 days."
CAND_0043228,73,94.120,"Demonstrates 6.8 years of experience, currently active as a senior backend/ML engineer (Applied ML Engineer) at Zoho. Operating from Chennai, Tamil Nadu. Showcases decent alignment with the technical requirements, offering Vector Search, OpenSearch and experience in learning-to-rank models. Strong platform engagement with a 41% response rate. Stated notice period is 30 days."
CAND_0083852,74,94.086,"A senior backend/ML engineer offering 6.0 years of experience, presently working as Data Scientist at Mad Street Den. Showcases decent alignment with the technical requirements, offering Information Retrieval, Qdrant and experience in LLM fine-tuning. Willing to relocate to Noida/Pune from Ahmedabad, Gujarat. Active on the platform though notice period of 90 days is longer than preferred."
CAND_0097176,75,93.947,"A viable candidate with relevant skills in FAISS, GANs. Brings 5.9 years of industry experience as a senior backend/ML engineer, currently holding the role of ML Engineer with TCS. Currently located in Gurgaon, Haryana. Very active candidate showing a 76% recruiter response rate. Stated notice period is 30 days."
CAND_0075249,76,93.733,"Showcases decent alignment with the technical requirements, offering BM25, Milvus and experience in LLM fine-tuning. Brings 6.2 years of industry experience as a senior backend/ML engineer, currently holding the role of Applied ML Engineer with Zomato. Currently located in Ahmedabad, Gujarat. Strong platform engagement with a 82% response rate. Stated notice period is 45 days."
CAND_0004402,77,93.731,"Demonstrates 6.0 years of experience, currently active as a senior backend/ML engineer (AI Research Engineer) at Yellow.ai. Currently located in Delhi, Delhi. Showcases decent alignment with the technical requirements, offering OpenSearch, Qdrant and experience in LLM fine-tuning. Excellent availability signals and a 83% response rate. Stated notice period is 60 days."
CAND_0016659,78,93.647,"Showcases decent alignment with the technical requirements, offering Information Retrieval, Pinecone and experience in LLM fine-tuning. Brings 4.4 years of industry experience as a backend/ML professional, currently holding the role of ML Engineer with Glance. Currently located in Coimbatore, Tamil Nadu. Strong platform engagement with a 89% response rate. Stated notice period is 45 days."
CAND_0087744,79,93.316,"A viable candidate with relevant skills in Pinecone, FAISS and experience in learning-to-rank models. Brings 3.9 years of industry experience as a backend/ML professional, currently holding the role of Senior Software Engineer (ML) with Niramai. Willing to relocate to Noida/Pune from Indore, Madhya Pradesh. Very active candidate showing a 88% recruiter response rate. Stated notice period is 30 days."
CAND_0072688,80,93.264,"Demonstrates 6.9 years of experience, currently active as a senior backend/ML engineer (Data Scientist) at Niramai. Positioned in the Pune/Noida region, allowing for immediate hybrid onboarding. A viable candidate with relevant skills in Milvus, Qdrant and experience in LLM fine-tuning. Very active candidate showing a 87% recruiter response rate. Stated notice period is 45 days."
CAND_0061696,81,93.111,"Demonstrates 3.5 years of experience, currently active as a backend/ML professional (Senior Software Engineer (ML)) at Glance. Willing to relocate to Noida/Pune from Kolkata, West Bengal. Showcases decent alignment with the technical requirements, offering Embeddings, Weaviate. Very active candidate showing a 78% recruiter response rate. Stated notice period is 30 days."
CAND_0027691,82,92.871,"Demonstrates 6.5 years of experience, currently active as a senior backend/ML engineer (NLP Engineer) at Haptik. Based locally in Pune/Noida, perfect for our current office cadence. Demonstrates capability in Embeddings, Weaviate and experience in LLM fine-tuning, with potential for this role. Strong platform engagement with a 68% response rate. Stated notice period is 15 days."
CAND_0042029,83,92.776,"A senior backend/ML engineer offering 6.5 years of experience, presently working as Senior Data Scientist at Flipkart. Showcases decent alignment with the technical requirements, offering Elasticsearch, Embeddings and experience in learning-to-rank models. Open to relocating from Delhi, Delhi to Noida/Pune office. Strong platform engagement with a 67% response rate. Stated notice period is 45 days."
CAND_0013665,84,92.753,"A viable candidate with relevant skills in Embeddings, Qdrant and experience in LLM fine-tuning. Brings 5.2 years of industry experience as a senior backend/ML engineer, currently holding the role of Senior Software Engineer (ML) with InMobi. Operating from Trivandrum, Kerala. Strong platform engagement with a 73% response rate. Stated notice period is 30 days."
CAND_0077296,85,92.684,"Demonstrates 5.8 years of experience, currently active as a senior backend/ML engineer (Computer Vision Engineer) at Ola. Willing to relocate to Noida/Pune from Vizag, Andhra Pradesh. A viable candidate with relevant skills in Weaviate and experience in distributed search scaling. Very active candidate showing a 50% recruiter response rate. Stated notice period is 45 days."
CAND_0081480,86,92.579,"A viable candidate with relevant skills in BM25, Vector Search and experience in LLM fine-tuning. Brings 5.6 years of industry experience as a senior backend/ML engineer, currently holding the role of Computer Vision Engineer with Sarvam AI. Based locally in Pune/Noida, perfect for our current office cadence. Strong platform engagement with a 85% response rate. Stated notice period is 60 days."
CAND_0057736,87,92.407,"Demonstrates 6.2 years of experience, currently active as a senior backend/ML engineer (Computer Vision Engineer) at Mad Street Den. Willing to relocate to Noida/Pune from Coimbatore, Tamil Nadu. Showcases decent alignment with the technical requirements, offering Information Retrieval, Embeddings and experience in LLM fine-tuning. Active on the platform though notice period of 90 days is longer than preferred."
CAND_0092255,88,92.352,"A senior backend/ML engineer offering 5.2 years of experience, presently working as ML Engineer at InMobi. Demonstrates capability in OpenSearch, Vector Search and experience in learning-to-rank models, with potential for this role. Based locally in Pune/Noida, perfect for our current office cadence. Strong platform engagement with a 38% response rate. Stated notice period is 60 days."
CAND_0005509,89,92.259,"Demonstrates 6.0 years of experience, currently active as a senior backend/ML engineer (Data Scientist) at Ola. Based locally in Pune/Noida, perfect for our current office cadence. Showcases decent alignment with the technical requirements, offering Qdrant, Diffusion Models and experience in LLM fine-tuning. Strong platform engagement with a 40% response rate. Stated notice period is 30 days."
